To,id,block_code,lgd_code,From
37,122,6400100000,674,15
37,125,6400400000,6719,15
37,75,6400500000,6715,8
37,128,6400300000,678,15
38,42,4450100000,#N/A,5
38,45,4450400000,#N/A,5
38,413,4450900000,#N/A,5
38,49,4450500000,#N/A,5
38,50,4450200000,610,5
39,397,1350200000,7419,7
39,222,1350400000,753,27
39,4,1350500000,568,1
39,7,1350100000,571,1
39,226,1350300000,627,27
40,54,7480200000,612,6
40,55,7480300000,613,6
40,56,7480100000,614,6
40,58,7480500000,#N/A,6
41,208,1380200000,#N/A,26
41,211,1380700000,#N/A,26
41,212,1380100000,744,26
41,213,1380300000,745,26
41,437,1380500000,#N/A,26
41,439,1380600000,#N/A,26
41,218,1380400000,749,26
42,149,2410100000,687,18
42,410,2410300000,#N/A,18
42,151,2410200000,692,18
43,245,7390200000,768,30
43,247,7390100000,770,30
43,200,7390300000,734,24
44,3,1360300000,#N/A,1
44,5,1360100000,569,1
44,382,1360400000,6860,1
44,390,1360200000,7384,1
44,269,1360500000,789,33
45,14,2430200000,#N/A,2
45,15,2430300000,578,2
45,18,2430400000,#N/A,2
45,24,2430100000,586,2
46,11,2420200000,574,2
46,12,2420100000,575,2
46,144,2420300000,691,17
46,22,2420600000,#N/A,2
46,146,2420400000,696,17
47,412,2440600000,7469,31
47,178,2440400000,717,22
47,256,2440100000,778,31
47,419,2440500000,6856,31
47,259,2440200000,780,31
47,182,2440300000,720,22
48,385,5470400000,7385,34
48,280,5470200000,#N/A,34
48,283,5470300000,801,34
48,284,5470100000,802,34
49,452,4460200000,7453,20
49,160,4460300000,6732,20
49,164,4460400000,704,20
49,165,4460100000,705,20
49,456,4460500000,7454,20
50,62,1370300000,621,7
50,65,1370200000,623,7
50,66,1370400000,624,7
50,145,1370100000,629,7
